ID,Age,Gender,Marital Status,Education Field,Education Level,Miles from Home to Work,Department Name,Job Role Name,Job Level,Business Travel Frequency,Yearly Income,Absences per Year,Job Involvement,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance Satisfaction,Last Salary Increase (%),Amount of Stock Option,Number of Training Sessions Last Year,Number of Other Companies,Total Active Years,Years at Current Company,Years Since Last Promotion,Years with Current Manager,Attrition
1,38,Male,Married,Life Sciences,College,11,Research & Development,Sales Executive,Entry Level,Travel_Rarely,198450,20,High,3,3.0,4.0,2.0,11,Low,3,7.0,7.0,0,0,0,No
2,45,Female,,Human Resources,Bachelor,14,Human Resources,Sales Executive,Entry Level,Travel_Rarely,54730,11,Low,3,,4.0,4.0,13,None,3,4.0,17.0,0,0,0,No
3,29,Male,Single,Life Sciences,Doctor,3,Human Resources,Sales Executive,Entry Level,Travel_Rarely,27230,10,Medium,3,1.0,4.0,3.0,11,Low,2,6.0,3.0,0,0,0,Yes
4,44,Male,Single,Life Sciences,Bachelor,20,Research & Development,Sales Representative,Entry Level,Non-Travel,45560,15,High,3,3.0,4.0,3.0,13,None,4,2.0,6.0,0,0,0,No
5,21,Male,Single,Life Sciences,Bachelor,2,Sales,Manufacturing Director,Mid Level,Travel_Rarely,137570,18,High,3,4.0,,3.0,12,Low,3,1.0,0.0,0,0,0,No
6,18,Male,Single,Other,Master,5,Sales,Manager,Mid Level,Non-Travel,32300,21,High,3,4.0,2.0,3.0,12,Low,3,1.0,0.0,0,0,0,No
7,22,Male,Single,Life Sciences,Below College,,Research & Development,Sales Representative,Entry Level,Travel_Rarely,193310,7,High,3,4.0,,3.0,12,Low,2,1.0,1.0,0,0,0,No
8,24,Male,,Life Sciences,Bachelor,,Sales,Research Scientist,Mid Level,Travel_Frequently,76540,8,Medium,3,1.0,2.0,2.0,17,Low,3,2.0,4.0,0,0,0,Yes
9,48,Male,Married,Medical,Master,13,Sales,Sales Executive,Manager,Travel_Rarely,98540,16,Medium,3,3.0,1.0,1.0,16,Low,2,3.0,15.0,0,0,0,No
10,18,Male,,Life Sciences,Bachelor,2,Research & Development,Sales Representative,Senior Level,Non-Travel,186060,20,High,4,3.0,2.0,,24,Medium,4,1.0,0.0,0,0,0,No
11,18,Male,Single,Medical,Doctor,,Research & Development,Research Director,Entry Level,Travel_Frequently,24790,14,Medium,3,,2.0,4.0,12,Low,2,1.0,0.0,0,0,0,Yes
12,34,Female,Divorced,Medical,Bachelor,20,Research & Development,Laboratory Technician,Senior Level,Travel_Rarely,57440,12,Medium,3,1.0,2.0,3.0,19,Low,4,3.0,7.0,0,0,0,No
13,18,Male,Single,Technical Degree,Bachelor,2,Research & Development,Sales Executive,Entry Level,Travel_Frequently,34680,8,Very High,3,2.0,2.0,3.0,18,Medium,4,1.0,0.0,0,0,0,Yes
14,33,Female,,Life Sciences,Master,15,Research & Development,Sales Executive,Entry Level,Travel_Rarely,62010,18,Medium,3,3.0,4.0,3.0,15,High,2,2.0,14.0,0,0,0,No
15,18,Male,Single,Medical,Master,1,Research & Development,Sales Executive,Mid Level,Non-Travel,27200,6,High,4,4.0,4.0,4.0,22,Low,2,1.0,0.0,0,0,0,No
16,19,Male,Single,Life Sciences,College,10,Research & Development,Healthcare Representative,Mid Level,Travel_Frequently,41870,19,High,4,1.0,3.0,4.0,22,Low,4,0.0,1.0,0,0,0,Yes
17,24,Male,Single,Life Sciences,Bachelor,,Sales,Research Scientist,Mid Level,Travel_Frequently,76540,10,Medium,3,1.0,,2.0,17,Low,3,2.0,4.0,0,0,0,Yes
18,23,Male,Divorced,Medical,Bachelor,10,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,64390,18,High,4,1.0,3.0,3.0,22,High,2,3.0,3.0,0,0,0,No
19,34,Female,Married,Marketing,Below College,1,Sales,Research Director,Mid Level,Non-Travel,26960,20,High,4,4.0,3.0,3.0,23,None,3,3.0,6.0,0,0,0,No
20,42,Female,Married,Other,Master,,Research & Development,Laboratory Technician,Mid Level,Travel_Rarely,57140,11,High,3,1.0,2.0,2.0,11,None,2,5.0,10.0,0,0,0,No
